address,proposed_name,confidence,method,evidence
0x8005763C,calc_line_seg_intersect_8005763C,high,manual_re,"2D line-seg intersection: all coords sra>>3 (1/8 fixed-pt), dx/dy deltas of 2 segs, mult/div cross-products w/ div0(break7)+overflow(break6) guards, cascade of slti<-0x32 (+/-50) bounds reject, writes ix/iy via ptr args $t8/$t9, returns 1/0"
0x800526A0,math_sqrt_800526A0,high,manual_re,"fixed-pt sqrt via GTE leading-zero-count: mtc2 $a0->r30(LZCS), mfc2 r31(LZCR) to normalize, index LUT D_80015620, halve exponent shift (sra ,1); two ranges (>>9 / >>12). D_80015620 is a sqrt table"
0x8008BC60,math_iter_numeric_8008BC60,low,manual_re,"leaf,no calls; 16-bit complement+leading-bit normalize, nested 48x32 refinement loops with magic consts, packs mantissa<<8|frac; fixed-pt transcendental (log/atan/recip class) - exact op unconfirmed"
0x800485EC,gpu_calc_tpage_clut_800485EC,medium,callee,calls gpu_CalcTPage + gpu_CalcClut (computes both texpage and CLUT ids)
0x80048530,gpu_tex_setup_80048530,low,callee,wraps func_800485EC (the tpage/clut calc); GPU texture setup
0x8003F420,stage_setup_collision_8003F420,medium,callee,calls stage_SetCollision (67 insn stage collision setup)
0x8003D9A0,gfx_load_image_8003D9A0,medium,callee,calls initLoadImage (image/texture load)
0x80017848,graph_add_edge_80017848,medium,manual_re,"graph edge insertion: nodes at $s2[0xC] stride64 (flag 0x18, adj-counts 0x1C/0x20, adj-lists 0x24/0x2C), edges at $s2[0x10] stride16; rejects self-loop+dupes, weights edge by math_Distance3D, stores {dist,packed from|to,3*dist,attr}, appends adj refs to both nodes; ret 1/0"
0x8002BC68,calc_fighter_separation_vec_8002BC68,medium,manual_re,inter-fighter distance (sqrt LUT D_8008D118) between pts D_80101FA0/A8 & D_801023EC/F4 (0x44C apart=fighter stride); writes scaled +/- separation vecs to both fighter structs D_80101EC8 & +0x44C at fields 0x134/0x13C; returns distance
0x80057ACC,coli_find_nearest_edge_hit_80057ACC,medium,manual_re,"loops polygons($s6: count+vert-array, 8B entries)->edges; intersects each edge vs actor move-seg via func_8005763C; tracks nearest hit by sqdist (sentinel 0x186A0), records winning poly/edge idx at $s2[0x360/0x361]; returns min dist"
0x8007526C,anim_ramp_state_step_8007526C,low,manual_re,"per-frame 5-state ramp machine over gp-global D_800A36A0 (2 instances, +2 stride); switch on state byte field0x10 (0-4): ramps fields 0x8/0xC by +/-0xA, clamp [0,0xC8=200], saves targets 0x18->0x14 / 0x38->0x3C at endpoints; fade/transition timer (driven value unconfirmed)"
0x8007E8DC,matrix_scale_3x3_rows_8007E8DC,medium,manual_re,"scales rows of a GTE 3x3 matrix (5-word/9-halfword packed layout m00,m01|m02,m10|m11,m12|m20,m21|m22) in place: row0*$a1[0], row1*$a1[4], row2*$a1[8], 4.12 fixed-pt (>>12)"
0x8007EDBC,matrix_scale_3x3_cols_8007EDBC,medium,manual_re,"column-scale counterpart of matrix_scale_3x3_rows: col0*$a1[0], col1*$a1[4], col2*$a1[8] of the packed 3x3 matrix, 4.12 fixed-pt"
0x8004A09C,unpack_xform_record_8004A09C,low,manual_re,"deserializer: reads halfword stream $a1 into dest struct $a0 - 3x3 matrix at 0x0-0x14, zeroes 3x3 at 0x18-0x28, xform/vec block 0x38-0x48, flag bytes 0x58-0x5C; calls func_8004A1FC; exact object type unconfirmed"
0x8006CBD4,update_record_flag_bits_8006CBD4,low,manual_re,"decodes $a0/$a1 -> bit position; for 3 records in gp-arrays D_800A34FC (key@0x28) / D_800A3524, sets (OR) or clears (AND) a flag bit at field 0x17; precise meaning depends on those unnamed gp-globals"
